complaint_id,complaint_text,expected_branch,expected_severity,expected_escalate_to_human
C001,Como actualizo la direccion registrada en mi poliza de hogar? Quedo al pendiente de sus comentarios.,home,1,False
C002,URGENTE: Necesito una constancia de vigencia de mi seguro de vida.,life,1,False
C003,Quiero conocer el estatus de mi reclamacion por el danio en la cocina.,home,1,False
C004,Creo que el ajustador altero el reporte del accidente para reducir el pago. Sospecho un fraude.,auto,3,True
C005,"No me han entregado el pago del seguro de vida de mi esposo, que fallecio hace tres meses.",life,3,True
C006,Que documentos necesito para agregar a mi esposa como beneficiaria?,life,1,False
C007,URGENTE: El robo en mi casa fue hace un mes y el pago sigue detenido sin justificacion.,home,2,False
C008,El hospital no reconoce mi poliza y necesito una cirugia urgente. Espero una respuesta pronta.,medical_expenses,3,True
C009,Rechazaron las fotos del choque sin explicarme por que y el taller no puede avanzar.,auto,2,False
C010,Buenas tardes. El proveedor que mando la aseguradora me pidio dinero en efectivo para agilizar el tramite; parece un fraude.,home,3,True
C011,"Soy viuda, dependo del pago del seguro de vida y llevan medio anio sin resolver.",life,3,True
C012,Rechazaron las fotos del choque sin explicarme por que y el taller no puede avanzar. Quedo al pendiente de sus comentarios.,auto,2,False
C013,Estoy muy inconforme con el servicio. Reporte una fuga de agua y nadie ha visitado mi domicilio en dos semanas. Esta situacion no puede seguir asi.,home,2,False
C014,"URGENTE: yevo un mes sin q me autoricen la reparacion de mi coche, nadie contesta el telefono",auto,2,False
C015,reporte el robo en mi casa ase 15 dias y no e recibido ninguna llamada Espero una respuesta pronta.,home,2,False
C016,Estoy muy inconforme con el servicio. reporte el robo en mi casa ase 15 dias y no e recibido ninguna llamada Esta situacion no puede seguir asi.,home,2,False
C017,"Soy viuda, dependo del pago del seguro de vida y llevan medio anio sin resolver. Quedo al pendiente de sus comentarios.",life,3,True
C018,Mi casa sufrio danios graves por un incendio y no tenemos donde dormir. Quedo al pendiente de sus comentarios.,home,3,True
C019,Estoy muy inconforme con el servicio. El hospital no reconoce mi poliza y necesito una cirugia urgente. Esta situacion no puede seguir asi.,medical_expenses,3,True
C020,Buenas tardes. Quiero conocer el estatus de mi reclamacion por el danio en la cocina.,home,1,False
C021,Mi reembolso de gastos medicos lleva dos meses en revision sin respuesta.,medical_expenses,2,False
C022,"Soy adulto mayor, dependo de mi oxigeno y la aseguradora suspendio el pago del equipo. Espero una respuesta pronta.",medical_expenses,3,True
C023,Buenas tardes. Rechazaron el pago del seguro de vida alegando una enfermedad preexistente que nunca existio.,life,3,True
C024,"Buenas tardes. Soy viuda, dependo del pago del seguro de vida y llevan medio anio sin resolver.",life,3,True
C025,Mi reembolso de gastos medicos lleva dos meses en revision sin respuesta. Espero una respuesta pronta.,medical_expenses,2,False
C026,URGENTE: Llevo tres semanas esperando el dictamen de mi automovil y nadie me da respuesta.,auto,2,False
C027,Me duplicaron el cobro de la prima de mi seguro de vida. Quedo al pendiente de sus comentarios.,life,2,False
C028,Estoy muy inconforme con el servicio. solisite mi constancia del seguro de vida ase un mes y no llega Esta situacion no puede seguir asi.,life,2,False
C029,El robo en mi casa fue hace un mes y el pago sigue detenido sin justificacion.,home,2,False
C030,Buenas tardes. Quiero actualizar los beneficiarios de mi poliza de vida.,life,1,False
C031,Buenas tardes. Me cobraron dos veces la prima de mi seguro de auto y no me devuelven el cargo duplicado.,auto,2,False
C032,Buenas tardes. Como actualizo la direccion registrada en mi poliza de hogar?,home,1,False
C033,Es la cuarta vez que reporto el mismo problema con la reparacion de mi auto y nadie lo resuelve. Espero una respuesta pronta.,auto,2,True
C034,Buenas tardes. La aseguradora se niega a cubrir la perdida total de mi auto; son mas de 400 mil pesos.,auto,3,True
C035,Estoy muy inconforme con el servicio. Necesito saber que documento falta para completar el tramite de mi seguro de hogar. Esta situacion no puede seguir asi.,home,1,False
C036,URGENTE: Me cobraron un deducible que no corresponde a mi plan de gastos medicos.,medical_expenses,2,False
C037,Es la cuarta vez que reporto el mismo problema con la reparacion de mi auto y nadie lo resuelve.,auto,2,True
C038,Buenas tardes. Necesito una copia de mi tabulador de honorarios medicos.,medical_expenses,1,False
C039,URGENTE: Es la cuarta vez que reporto el mismo problema con la reparacion de mi auto y nadie lo resuelve.,auto,2,True
C040,"Estoy muy inconforme con el servicio. Llevo un mes esperando el pago de la reparacion. Si hoy no tengo respuesta, presentare una demanda. Esta situacion no puede seguir asi.",auto,3,True
C041,Buenas tardes. Me cobraron un deducible que no corresponde a mi plan de gastos medicos.,medical_expenses,2,False
C042,Quiero saber el estatus de mi solicitud de reembolso medico.,medical_expenses,1,False
C043,La aseguradora niega el pago del seguro de vida de mi madre; ya contrate un abogado para demandar. Quedo al pendiente de sus comentarios.,life,3,True
C044,"Llevo un mes esperando el pago de la reparacion. Si hoy no tengo respuesta, presentare una demanda. Quedo al pendiente de sus comentarios.",auto,3,True
C045,Necesito una copia de mi tabulador de honorarios medicos.,medical_expenses,1,False
C046,La aseguradora se niega a cubrir la perdida total de mi auto; son mas de 400 mil pesos. Quedo al pendiente de sus comentarios.,auto,3,True
C047,La aseguradora niega el pago del seguro de vida de mi madre; ya contrate un abogado para demandar.,life,3,True
C048,Me duplicaron el cobro de la prima de mi seguro de vida.,life,2,False
C049,"Si no autorizan la operacion de mi hija esta semana, procedere legalmente contra la aseguradora. Espero una respuesta pronta.",medical_expenses,3,True
C050,El asesor no me ha enviado el endoso de mi poliza de vida que prometio hace semanas.,life,2,False
C051,El ajustador cancelo tres veces la visita para evaluar los danios del techo. Espero una respuesta pronta.,home,2,False
C052,Estoy muy inconforme con el servicio. Rechazaron mi factura del laboratorio sin darme ninguna explicacion. Esta situacion no puede seguir asi.,medical_expenses,2,False
C053,Buenas tardes. Que documentos necesito para agregar a mi esposa como beneficiaria?,life,1,False
C054,Me pueden confirmar si mi poliza de gastos medicos cubre consultas de nutricion?,medical_expenses,1,False
C055,Estoy muy inconforme con el servicio. He llamado seis veces para el tramite del seguro de vida de mi hermano y nadie da seguimiento. Esta situacion no puede seguir asi.,life,2,True
C056,Que documentos necesito para agregar a mi esposa como beneficiaria? Quedo al pendiente de sus comentarios.,life,1,False
C057,Buenas tardes. Negaron la autorizacion de mi quimioterapia y mi tratamiento no puede esperar.,medical_expenses,3,True
C058,Buenas tardes. Rechazaron mi factura del laboratorio sin darme ninguna explicacion.,medical_expenses,2,False
C059,URGENTE: Reporte una fuga de agua y nadie ha visitado mi domicilio en dos semanas.,home,2,False
C060,Buenas tardes. Mi automovil fue impactado cuando me dirigia al hospital y ademas no quieren cubrir los gastos medicos del accidente.,auto,2,True
C061,He llamado seis veces para el tramite del seguro de vida de mi hermano y nadie da seguimiento.,life,2,True
C062,Es la cuarta vez que reporto el mismo problema con la reparacion de mi auto y nadie lo resuelve. Quedo al pendiente de sus comentarios.,auto,2,True
C063,"yevo un mes sin q me autoricen la reparacion de mi coche, nadie contesta el telefono",auto,2,False
C064,Mi casa sufrio danios graves por un incendio y no tenemos donde dormir. Espero una respuesta pronta.,home,3,True
C065,"Buenas tardes. Si no cubren el danio estructural de mi casa, mi abogado presentara una demanda esta semana.",home,3,True
C066,Me cobraron dos veces la prima de mi seguro de auto y no me devuelven el cargo duplicado. Espero una respuesta pronta.,auto,2,False
C067,Buenas tardes. Creo que el ajustador altero el reporte del accidente para reducir el pago. Sospecho un fraude.,auto,3,True
C068,solisite mi constancia del seguro de vida ase un mes y no llega Espero una respuesta pronta.,life,2,False
C069,Me cobraron dos veces la prima de mi seguro de auto y no me devuelven el cargo duplicado. Quedo al pendiente de sus comentarios.,auto,2,False
C070,"Si no cubren el danio estructural de mi casa, mi abogado presentara una demanda esta semana. Espero una respuesta pronta.",home,3,True
C071,Es la tercera vez que envio la misma documentacion medica y siempre la pierden. Espero una respuesta pronta.,medical_expenses,2,True
C072,"URGENTE: Soy adulto mayor, dependo de mi oxigeno y la aseguradora suspendio el pago del equipo.",medical_expenses,3,True
C073,solisite mi constancia del seguro de vida ase un mes y no llega,life,2,False
C074,URGENTE: El ajustador cancelo tres veces la visita para evaluar los danios del techo.,home,2,False
C075,Necesito una copia de mi tabulador de honorarios medicos. Quedo al pendiente de sus comentarios.,medical_expenses,1,False
C076,solisite mi constancia del seguro de vida ase un mes y no llega Quedo al pendiente de sus comentarios.,life,2,False
C077,Es la tercera vez que envio la misma documentacion medica y siempre la pierden.,medical_expenses,2,True
C078,Negaron la autorizacion de mi quimioterapia y mi tratamiento no puede esperar.,medical_expenses,3,True
C079,Estoy muy inconforme con el servicio. Que documento falta para completar el tramite de mi seguro de auto? Esta situacion no puede seguir asi.,auto,1,False
C080,Rechazaron el pago del seguro de vida alegando una enfermedad preexistente que nunca existio. Quedo al pendiente de sus comentarios.,life,3,True
C081,Buenas tardes. Necesito saber que documento falta para completar el tramite de mi seguro de hogar.,home,1,False
C082,El ajustador cancelo tres veces la visita para evaluar los danios del techo.,home,2,False
C083,"Buenas tardes. yevo un mes sin q me autoricen la reparacion de mi coche, nadie contesta el telefono",auto,2,False
C084,"URGENTE: Si no autorizan la operacion de mi hija esta semana, procedere legalmente contra la aseguradora.",medical_expenses,3,True
C085,Rechazaron mi factura del laboratorio sin darme ninguna explicacion.,medical_expenses,2,False
C086,URGENTE: Me pueden confirmar si mi poliza de gastos medicos cubre consultas de nutricion?,medical_expenses,1,False
C087,URGENTE: Rechazaron mi factura del laboratorio sin darme ninguna explicacion.,medical_expenses,2,False
C088,Estoy muy inconforme con el servicio. Es la cuarta vez que reporto el mismo problema con la reparacion de mi auto y nadie lo resuelve. Esta situacion no puede seguir asi.,auto,2,True
C089,Buenas tardes. Necesito corregir el numero de placas registrado en mi poliza de auto.,auto,1,False
C090,El taller autorizado entrego mi auto con los frenos fallando y casi choco en la autopista.,auto,3,True
C091,URGENTE: Me estan cobrando una prima distinta a la contratada en mi seguro de casa.,home,2,False
C092,Me pueden confirmar si mi poliza de gastos medicos cubre consultas de nutricion? Espero una respuesta pronta.,medical_expenses,1,False
C093,Estoy muy inconforme con el servicio. Llevo tres semanas esperando el dictamen de mi automovil y nadie me da respuesta. Esta situacion no puede seguir asi.,auto,2,False
